Accession,Species,Stage,Replicate,NumMap,PctMap,MeanCov,PctExon,PctIntron,PctOther
SRR3199624,C. melo,3,3,8484994,95.42,17.9253,90.72230250386423,2.0566097655948483,7.22108773054093
SRR3199628,C. melo,Tr,1,5743807,92.05,11.6608,83.39186256760017,1.823213704360372,14.784923728039459
SRR3199629,C. melo,Tr,2,7770892,94.59,16.0215,87.5852299902239,1.7179229127030466,10.69684709707306
SRR3199630,C. melo,Tr,3,4154477,76.52,9.597,84.37917007688554,1.9543054481180693,13.666524474996393
SRR3199635,C. melo,4,1,7088522,91.85,16.3809,86.77946386212449,2.74950776582016,10.471028372055358
SRR3199656,C. melo,4,2,8318255,91.57,20.8644,85.65316803813182,3.258101621976889,11.088730339891285
SRR3199657,C. melo,4,3,8100920,94.97,16.9267,90.11013871155681,1.7949769583480626,8.094884330095127
SRR12244603,N. obtusifolia,1,1,43912690,86.96,157.1165,64.2702725113671,2.452779870357929,33.276947618274974
SRR12244602,N. obtusifolia,1,2,52985513,91.85,193.7756,67.27814979367156,2.3253353303039,30.39651487602454
SRR12244601,N. obtusifolia,1,3,53032676,91.67,188.0285,66.8245449552051,2.366932882187439,30.80852216260746
SRR12244600,N. obtusifolia,2,1,38626770,63.1,138.9636,51.42462485123285,1.472263192385397,47.10311195638175
SRR12244599,N. obtusifolia,2,2,51470078,93.78,154.5467,62.07216963332722,1.3450020792526054,36.58282828742017
SRR12244598,N. obtusifolia,2,3,54384061,94.55,193.4102,70.80194369526988,2.260517881025117,26.937538423704993
SRR12244597,N. obtusifolia,3,1,67079819,94.79,235.4537,70.38729552728353,2.2966019931344053,27.31610247958207
SRR12244596,N. obtusifolia,3,2,50971736,94.79,182.96,71.0975298399419,2.47079715445112,26.43167300560698
SRR12244595,N. obtusifolia,3,3,50777090,94.64,181.7514,71.1354677234331,2.05999489464763,26.804537381919275
SRR12244594,N. obtusifolia,Tr,1,16161964,92.41,30.3881,70.81764259961314,2.7250229606457985,26.45733443974106
SRR12248214,N. obtusifolia,Tr,1,9081580,92.4,17.2315,71.31164991069055,2.644815532339632,26.043534556969817
SRR12244592,N. obtusifolia,Tr,2,55855259,93.57,104.3302,69.88147054788811,3.1597588314145666,26.958770620697322
SRR12248213,N. obtusifolia,Tr,2,30716967,93.71,57.8472,70.4189931166633,3.0638134153831285,26.517193467953575
SRR12244591,N. obtusifolia,Tr,3,21461672,93.34,41.4104,71.28152682947243,2.2463976720045133,26.472075498523054
SRR12248212,N. obtusifolia,Tr,3,12160794,93.42,23.6091,71.76259276941794,2.1840145544292193,26.05339267615284
SRR12244627,S. lycopersicum,1,1,34300705,83.27,122.0347,89.98271584726584,3.2201786746761907,6.797105478057972
SRR12244626,S. lycopersicum,1,2,83035923,90.78,289.0509,90.16889837704939,4.560122968163417,5.2709786547872
SRR12244615,S. lycopersicum,1,3,34083803,90.07,115.3549,89.26601535968689,4.994492086325905,5.739492553987205
SRR12244604,S. lycopersicum,2,1,92578505,90.49,321.9785,89.96995955407547,3.91270483108908,6.11733561483544
SRR12244593,S. lycopersicum,2,2,101256999,91.71,369.1168,91.30661719622783,3.2492194496908926,5.444163354081269
SRR12244590,S. lycopersicum,2,3,45800053,90.66,158.232,89.11660668258698,4.5646767045013235,6.3187166129117
