"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc11g066350.2",247.211253562832,4.65093782114272,0.391112055904357,9.33476165213255,1.01218729713314e-20,2.34520788327128e-19
"Solyc07g062810.3",365.823269093058,2.93296485851247,0.207174553393967,9.33012682709498,1.05744298105382e-20,2.44537484020542e-19
"Solyc07g063590.3",1977.13292666096,3.81152061318947,0.301489215125783,9.32544340604847,1.10520498163777e-20,2.55338275203234e-19
"Solyc01g108400.3",1415.580821178,2.50677005004624,0.161657259133576,9.3207694978993,1.1549956378354e-20,2.66078404041281e-19
"Solyc04g016160.3",1574.49270261622,3.13806937721923,0.22940066591755,9.32024050003274,1.16076888050536e-20,2.67153721583739e-19
"Solyc04g071500.3",172.734296786238,5.32711790911977,0.464290399082841,9.31985222539074,1.16502448404952e-20,2.67878036931881e-19
"Solyc02g067610.1",218.395133721448,7.23195983607661,0.668994685407994,9.31541008023999,1.21482340505725e-20,2.78269406697759e-19
"Solyc03g093110.3",1076.86558389599,5.72978353774568,0.507993018137246,9.31072548022269,1.26962140507312e-20,2.89996889177665e-19
"Solyc10g006000.3",975.25079338759,2.56359004376656,0.168090563712584,9.30206913006798,1.37738668758194e-20,3.14018176340615e-19
"Solyc09g059240.3",205.776163495376,6.3103845640724,0.571197108756997,9.29693880213877,1.44547372327305e-20,3.28610705518501e-19
"Solyc03g111300.1",488.66781922437,12.2621388988782,1.21374846397773,9.27880795166543,1.71385189762511e-20,3.8889150195313e-19
"Solyc05g009480.1",211.798654770963,7.00471014684372,0.647347863929871,9.27586307366611,1.76186776511345e-20,3.99411786226376e-19
"Solyc04g078310.3",420.108284628668,2.69332124355155,0.182572345729712,9.274795899585,1.77959425471621e-20,4.03052247042848e-19
"Solyc07g055730.3",609.294851344621,4.17063627973764,0.341920269061711,9.27302814904311,1.80934658078457e-20,4.09407017520974e-19
"Solyc05g053900.3",632.144250065901,2.62528878734233,0.175538174862167,9.25889077187064,2.06566919592148e-20,4.66532353164847e-19
"Solyc08g008610.3",1078.78724892276,3.93634880449911,0.317524229773841,9.24763696487209,2.29510364930822e-20,5.17866244530182e-19
"Solyc11g010850.2",14380.9135367937,4.57313962917109,0.387082478239961,9.23095161893641,2.68238067777424e-20,6.0412312636619e-19
"Solyc11g061960.2",810.685386361316,2.75773166787374,0.190430722340481,9.23029459884627,2.69888578480804e-20,6.0727443087217e-19
"Solyc03g093130.3",513.885482256573,5.88492180292225,0.529246610928898,9.2299538665889,2.70748487116208e-20,6.08642599037236e-19
"Solyc01g086820.3",4668.95473960254,3.05636921597739,0.222845215215015,9.22779164898504,2.76268774850072e-20,6.20475019798034e-19
"Solyc09g091880.3",596.189388329671,5.70422391568218,0.510582063523083,9.21345313860502,3.15798595301684e-20,7.08596922382591e-19
"Solyc03g120360.1",420.516260498674,12.0454226602042,1.1991827284476,9.2107919820552,3.2372746069843e-20,7.25714083046221e-19
"Solyc08g081480.3",2157.024991168,2.36263470424123,0.148201174950822,9.19449326021467,3.76766203190535e-20,8.43049265398376e-19
"Solyc01g107260.3",217.240206435064,4.13169530531728,0.340675006171437,9.19261832710244,3.83393364590265e-20,8.57084555845361e-19
"Solyc08g059710.3",163.124869409337,6.19486222132245,0.565193083288999,9.19130536964864,3.88102631692249e-20,8.66810369452392e-19
"Solyc09g010230.2",156.776144497095,5.76015804274058,0.518360921792484,9.1830958751289,4.18872112955388e-20,9.34668834873492e-19
"Solyc11g072600.2",928.058333770607,2.71353036128873,0.186625967612323,9.18162881195736,4.24619275955257e-20,9.46618950436784e-19
"Solyc12g088040.2",324.137557352174,4.2479046407455,0.353840220208811,9.17901486390898,4.35053136507899e-20,9.68093379083783e-19
"Solyc06g074760.2",1047.06257289644,3.86234423348685,0.311985538636506,9.1746054833066,4.532310001613e-20,1.00761548757111e-18
"Solyc11g027760.1",9791.30297968065,4.59119121162984,0.392102528100141,9.15880657293969,5.24744056595629e-20,1.16552985953033e-18
"Solyc05g006550.3",845.28842980973,3.60561283314827,0.284698592742529,9.15218023400872,5.57958992755279e-20,1.23816685205914e-18
"Solyc09g010060.3",460.171103142498,3.68860394623847,0.294016518553665,9.14439759869387,5.99631185115867e-20,1.32942084582661e-18
"Solyc05g051500.3",1005.09896198841,3.76141889028951,0.302171189371226,9.1385909293193,6.32713203006848e-20,1.40019663588494e-18
"Solyc11g012060.1",2035.04751254424,2.38571439370603,0.151801896864746,9.1284392509317,6.94938984352368e-20,1.5350909959652e-18
"Solyc06g061010.3",592.924600228218,3.72794828709295,0.298913516160315,9.1262125652086,7.09376319345354e-20,1.56412300486312e-18
"Solyc11g065770.1",413.166015654444,12.0198407588813,1.20964435252696,9.10998405098221,8.23940827776182e-20,1.81507329480758e-18
"Solyc07g043170.3",469.528133524872,2.79528907803176,0.197280509020191,9.10018474175783,9.01783055373188e-20,1.98474401786416e-18
