"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Solyc01g007220.3",2555.44679240148,-3.77562102595492,0.293851583737112,-9.44565617328125,3.53184401408694e-21,8.40212781522842e-20
"Solyc10g008650.2",131.111098650515,-7.13121393283521,0.649880347628736,-9.43437350460989,3.93337738351939e-21,9.33732788311686e-20
"Solyc08g077100.3",1023.28548358185,-2.72293704651652,0.182690475420201,-9.43090789245386,4.06554535663078e-21,9.64160638747197e-20
"Solyc02g092000.3",2454.30988126803,-2.77277509427136,0.188088932894369,-9.42519619305276,4.29302232653132e-21,1.01611339415236e-19
"Solyc12g088240.2",217.914152200217,-5.68309514984931,0.497395564792574,-9.41523302846954,4.72034164958087e-21,1.11616219475315e-19
"Solyc08g077460.3",9892.62549233355,-2.27290312539324,0.135418333312114,-9.39978431472368,5.46750334338223e-21,1.28905059313341e-19
"Solyc04g076010.3",10820.9543619977,-2.39513220666299,0.148475829111929,-9.39635909095519,5.6483825107566e-21,1.33039777538932e-19
"Solyc04g071615.1",524.003600463074,-12.5995877370022,1.2350411834439,-9.39206553797409,5.88349514734028e-21,1.38442593700706e-19
"Solyc10g080240.1",383.185642508722,-3.66653373797449,0.284653846742432,-9.36763640642908,7.41749162409538e-21,1.73524784693019e-19
"Solyc12g005840.2",557.13689772555,-4.02112049151692,0.323051229448156,-9.35183096711216,8.61433598984575e-21,2.0094019645812e-19
"Solyc06g082440.1",342.537655542358,-3.765738223657,0.296228535184509,-9.33650170445035,9.956960932575e-21,2.30921226388299e-19
"Solyc08g065360.3",1517.95545321161,-2.67444870363709,0.179465388669096,-9.33020409146687,1.05667239624222e-20,2.44537484020542e-19
"Solyc06g084030.3",633.460301891377,-2.44082967365183,0.154539880903715,-9.32335177965826,1.1272188553847e-20,2.60175461883731e-19
"Solyc02g071920.3",932.402325411214,-3.82384192470329,0.302884117365835,-9.32317596994544,1.12908884510242e-20,2.60358406781919e-19
"Solyc01g008850.3",1193.43092612233,-2.51622919903989,0.162714615701649,-9.31833438871912,1.18180896646312e-20,2.71479044520417e-19
"Solyc02g089440.3",7663.48335490841,-2.03944925010326,0.111560219235994,-9.31738264071005,1.19245529528005e-20,2.7366452674015e-19
"Solyc05g008310.3",527.532706963191,-3.89715674766398,0.310946554948233,-9.3172177069024,1.19430987534205e-20,2.73830099122542e-19
"Solyc12g088820.2",431.815388763693,-12.3208708454851,1.21531069785276,-9.31520710340752,1.217148498298e-20,2.78537979260127e-19
"Solyc01g100360.3",4939.03960429311,-2.68743053218542,0.181219557891872,-9.31152548773052,1.26009326305981e-20,2.88092845743645e-19
"Solyc05g024415.1",2551.26713454707,-2.41537786408023,0.152129558009105,-9.3037663594311,1.35556774262896e-20,3.09335694696613e-19
