"","ProbeName","GeneName","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"32810","A_96_P008526","Solyc12g013810.2.1",-0.782440698141996,12.3382494036469,-4.83843638867347,0.00116724916997053,0.016442541499218,-0.862701536061655
"36132","A_96_P213909","Solyc07g009130.4.1",0.974825548647377,6.53785724845036,4.833717195166,0.00117447065987772,0.0165077880149022,-0.869183144986405
"41629","A_96_P060276","Solyc11g017420.2.1",0.716472960497314,5.88018615695685,4.83225600288617,0.00117671644925699,0.0165077880149022,-0.871190700458331
"35179","A_96_P207064","Solyc01g010470.2.1",-0.753388912743602,7.68161135600126,-4.83148063283925,0.00117791005133705,0.0165077880149022,-0.872256122595046
"11824","A_96_P058231","Solyc05g052790.3.1",0.994213996430448,10.5108211635841,4.83047063935867,0.00117946680233525,0.0165077880149022,-0.873644070540026
"11522","A_96_P047711","Solyc06g073180.3.1",1.54512181967666,7.77533286360203,4.84258854666842,0.00118703124464754,0.0165632266695005,-0.873728949178583
"8817","A_96_P076979","Solyc02g065680.3.1",0.854130202186263,10.1621842769062,4.82970925424834,0.00118064183706566,0.0165077880149022,-0.874690477369714
"26726","A_96_P255527","Solyc07g063570.4.1",-0.834427799948763,9.53415418569582,-4.82933001569883,0.00118122758428126,0.0165077880149022,-0.875211714605904
"2598","A_96_P094594","Solyc03g079930.3.1",-0.570212313406273,12.932059570198,-4.82925817529466,0.00118133857981644,0.0165077880149022,-0.875310456694619
"10451","A_96_P137077","Solyc02g065170.3.1",1.16969624456232,8.41283625867428,4.82856774438241,0.00118240589300499,0.0165106859241425,-0.876259468596317
"10992","A_96_P042416","Solyc06g053470.3.1",0.6258435453838,10.8635041629691,4.82278310170215,0.00119138938254909,0.0166119652468718,-0.884213364173267
"7107","A_96_P189319","Solyc12g094620.3.1",-0.927665177519098,13.6245191996928,-4.82175562037839,0.00119299278063554,0.016622250644559,-0.885626672895001
"2937","A_96_P229479","Solyc03g025970.3.1",-0.851303846694835,9.33835661786452,-4.8196817997251,0.0011962361402325,0.0166553545268049,-0.888479707258173
"37458","A_96_P067031","Solyc04g054730.3.1",0.88676317069013,5.44843299624972,4.81353877373443,0.00120589981087555,0.0167669496001645,-0.896934650827314
"5158","A_96_P019996","Solyc11g007610.2.1",0.551103189577742,11.0178073120367,4.81347676950687,0.00120599778113683,0.0167669496001645,-0.897020018806659
"10724","A_96_P028791","Solyc08g005150.3.1",-1.27206046223842,9.35624573402125,-4.81286356420797,0.00120696714597263,0.0167682845171306,-0.897864316126673
"35666","A_96_P018661","Solyc01g080250.3.1",0.517026608329376,12.0890391121229,4.81132061119071,0.00120941001184411,0.0167900739171416,-0.899988992063367
"41011","A_96_P211599","Solyc03g120720.3.1",-0.742745086978974,10.0403848636855,-4.81061707397426,0.00121052566027024,0.0167934195644426,-0.900957893647991
"25952","A_96_P006416","Solyc06g065270.4.1",-0.463620379128588,13.3161809552719,-4.80996539982078,0.00121156006174503,0.0167956340689564,-0.901855435708268
"30000","A_96_P091099","Solyc02g089065.1.1",0.666590127733709,12.0839918857111,4.80870137795964,0.00121356917626418,0.0168111836638236,-0.903596535789375
