Sample	total_reads	total_tags	total_assigned_tags	cds_exons_total_bases	cds_exons_tag_count	cds_exons_tags_kb	5_utr_exons_total_bases	5_utr_exons_tag_count	5_utr_exons_tags_kb	3_utr_exons_total_bases	3_utr_exons_tag_count	3_utr_exons_tags_kb	introns_total_bases	introns_tag_count	introns_tags_kb	tss_up_1kb_total_bases	tss_up_1kb_tag_count	tss_up_1kb_tags_kb	tss_up_5kb_tags_kb	tss_up_10kb_tags_kb	tes_down_1kb_total_bases	tes_down_1kb_tag_count	tes_down_1kb_tags_kb	tes_down_5kb_tags_kb	tes_down_10kb_tags_kb	other_intergenic_tag_count	cds_exons_tag_pct	5_utr_exons_tag_pct	3_utr_exons_tag_pct	introns_tag_pct	tss_up_1kb_tag_pct	tss_up_5kb_tag_pct	tss_up_10kb_tag_pct	tes_down_1kb_tag_pct	tes_down_5kb_tag_pct	tes_down_10kb_tag_pct	other_intergenic_tag_pct	tss_up_5kb-10kb_total_bases	tss_up_1kb-5kb_total_bases	tss_up_5kb-10kb_tag_count	tss_up_1kb-5kb_tag_count	tes_down_5kb-10kb_total_bases	tes_down_1kb-5kb_total_bases	tes_down_5kb-10kb_tag_count	tes_down_1kb-5kb_tag_count
RSeQC_ERR2809810	9885500	10613651	9393263	33462338	5650068	168.85	3076919	1369108	444.96	4707404	1576625	334.92	19085604	33819	1.77	18882508	418	0.02	0.04	0.04	14651503	471624	32.19	21.3	16.86	1220388	53.2339719857003	12.899500840945308	14.854690435930106	0.3186368196956919	0.003938324333445673	0.013360152882358766	0.019145155611391403	4.443560467552589	7.166638511102354	7.175768262966249	11.498286499150952	6901162	20811644	614	1000	9462954	21060883	969	289018
RSeQC_ERR2809811	10699739	11497124	10288054	33462338	6189457	184.97	3076919	1706689	554.67	4707404	1644948	349.44	19085604	33665	1.76	18882508	461	0.02	0.04	0.05	14651503	445537	30.41	19.88	15.74	1209070	53.83482860583221	14.844486325449738	14.307473764743253	0.29281235898647345	0.004009698425449703	0.013916523819348213	0.02002239864508724	3.87520392056309	6.173944022870415	6.184094387431152	10.51628215891209	6901162	20811644	702	1139	9462954	21060883	1167	264289
RSeQC_ERR2809812	9650225	10381754	9294836	33462338	5602996	167.44	3076919	1534381	498.67	4707404	1481349	314.68	19085604	29543	1.55	18882508	457	0.02	0.04	0.04	14651503	399970	27.3	18.02	14.27	1086918	53.9696471328448	14.779593120777088	14.268773850738517	0.2845665578282822	0.0044019536583124585	0.013610416891018608	0.01949574224162892	3.852624517976442	6.198104867443401	6.208421043303472	10.469502552266215	6901162	20811644	611	956	9462954	21060883	1071	243502
RSeQC_ERR2809813	11633598	12538080	10877812	33462338	6448224	192.7	3076919	1945978	632.44	4707404	1413813	300.34	19085604	34941	1.83	18882508	503	0.03	0.04	0.05	14651503	644040	43.96	28.87	22.86	1660268	51.42911833390759	15.520542220180442	11.27615232954328	0.2786790321963171	0.004011778517922999	0.013279545193522452	0.017698084555211005	5.136671643505226	8.224504868369001	8.2360058318339	13.241804167783263	6901162	20811644	554	1162	9462954	21060883	1442	387155
RSeQC_ERR2809814	10636127	11464411	9945112	33462338	5897967	176.26	3076919	1778535	578.02	4707404	1283094	272.57	19085604	30597	1.6	18882508	460	0.02	0.04	0.05	14651503	587841	40.12	26.64	21.09	1519299	51.44587890298071	15.513531397295507	11.191974886455135	0.2668868029940657	0.004012417210094789	0.014130686696420775	0.018457119166436026	5.127529011302892	8.299196530898971	8.31096338049988	13.252307510608263	6901162	20811644	496	1160	9462954	21060883	1349	363613
RSeQC_ERR2809815	21298351	23208623	21736513	33462338	13024733	389.24	3076919	2574669	836.77	4707404	5254727	1116.27	19085604	146598	7.68	18882508	1866	0.1	0.14	0.16	14651503	437810	29.88	20.32	16.12	1472110	56.12023169147088	11.093587930658359	22.641270014166718	0.6316531575354557	0.008040115089981856	0.024012626686210552	0.03259564343821691	1.886410925801156	3.1264758792453993	3.1377173906439864	6.342944172086383	6901162	20811644	1992	3707	9462954	21060883	2609	287802
RSeQC_ERR2809816	25155748	27682163	26040512	33462338	18365641	548.85	3076919	2172402	706.03	4707404	4427481	940.54	19085604	179759	9.42	18882508	1931	0.1	0.16	0.18	14651503	566385	38.66	24.75	19.63	1641651	66.34467472791053	7.847659881202203	15.993985007602188	0.6493676090267946	0.006975610973752304	0.022830585890271652	0.030868252600058745	2.046028700864163	3.1933704024501264	3.203087851191397	5.930356670466827	6901162	20811644	2225	4389	9462954	21060883	2690	317609
RSeQC_ERR2809817	25550840	28715745	27650021	33462338	21451337	641.06	3076919	1646350	535.06	4707404	3822265	811.97	19085604	229302	12.01	18882508	2108	0.11	0.18	0.19	14651503	297457	20.3	13.7	10.89	1065724	74.7023523157766	5.733265844225876	13.310694185367645	0.798523597420161	0.007340920460186563	0.024310704806718406	0.0311362285742543	1.0358672567958798	1.7034800942827708	1.7127398227000552	3.7112880059354194	6901162	20811644	1960	4873	9462954	21060883	2659	191710
RSeQC_Nobt3DPA1	118991716	136065821	96273754	31904299	69971338	2193.16	0	0	0.0	0	0	0.0	58264277	2003247	34.38	27265610	4678567	171.59	55.88	47.51	26087302	8557135	328.02	121.01	73.8	39792067	51.42462485123285	0.0	0.0	1.472263192385397	3.438458655976507	4.924385823534625	7.43119464218718	6.288967307961932	9.495143530571134	10.427198318966525	29.24471899522805	92924724	92637966	3410910	2021839	85489372	80674326	1268208	4362510
RSeQC_Nobt3DPA2	107639052	128245601	108701705	31904299	79604827	2495.11	0	0	0.0	0	0	0.0	58264277	1724906	29.6	27265610	1483684	54.42	25.08	20.88	26087302	16843519	645.66	198.55	119.26	19543896	62.07216963332722	0.0	0.0	1.3450020792526054	1.1569082981645507	2.344624670595914	3.465382021173576	13.133798640001695	16.528662063036375	17.878018287738385	15.239427978508207	92924724	92637966	1437322	1523194	85489372	80674326	1730490	4353763
RSeQC_Nobt3DPA3	113179996	137517647	120685874	31904299	97365167	3051.79	0	0	0.0	0	0	0.0	58264277	3108611	53.35	27265610	2839006	104.12	40.87	29.35	26087302	8515298	326.42	114.78	72.64	16831773	70.80194369526988	0.0	0.0	2.260517881025117	2.0644666789564834	3.5633586720691923	4.542944223005794	6.192149288301886	8.911158143943519	10.154875613891212	12.239718586807989	92924724	92637966	1347103	2061241	85489372	80674326	1710331	3739117
RSeQC_Nobt6DPA1	139430420	169445773	148780507	31904299	119268297	3738.31	0	0	0.0	0	0	0.0	58264277	3891495	66.79	27265610	3647979	133.79	50.29	36.73	26087302	11308436	433.48	145.51	92.61	20665266	70.38729552728353	0.0	0.0	2.2966019931344053	2.152888759284659	3.5584995088664737	4.613340221830143	6.673778755165524	9.16825231161122	10.506963192289252	12.195799065462671	92924724	92637966	1787383	2381748	85489372	80674326	2268389	4226780
RSeQC_Nobt6DPA2	105988923	128708947	113252752	31904299	91508882	2868.23	0	0	0.0	0	0	0.0	58264277	3180137	54.58	27265610	2732938	100.23	38.77	27.86	26087302	7672403	294.1	102.82	65.72	15456195	71.0975298399419	0.0	0.0	2.47079715445112	2.1233473380836534	3.6113581132786363	4.606733360968294	5.961048690733209	8.528668174093601	9.816298939964135	12.008640704674555	92924724	92637966	1281137	1915203	85489372	80674326	1657296	3304756
